Date,Price,Open,High,Low,Change %,,,,,,,
3/31/2021,502.28,502.28,502.28,499.34,0.45,,,,,,,
3/30/2021,500.02,500.02,501.71,496.85,-0.04,,,,,,,
3/29/2021,500.24,500.24,501.68,496.23,0.07,,,,,,,
3/26/2021,499.91,499.91,499.91,493.47,0.88,,,,,,,
3/25/2021,495.55,495.55,495.9,492.43,0.25,,,,,,,
3/24/2021,494.29,494.29,494.53,490.78,0.33,,,,,,,
3/23/2021,492.68,492.68,493.14,489.98,0.47,,,,,,,
3/22/2021,490.36,490.36,491.93,490.36,-0.14,,,,,,,
3/19/2021,491.03,491.03,493.48,489.87,-0.5,,,,,,,
3/18/2021,493.48,493.48,495.94,492.26,-0.07,,,,,,,
3/17/2021,493.84,493.84,494.26,491.55,0.47,,,,,,,
3/16/2021,491.55,491.55,492.71,487.77,0.63,,,,,,,
3/15/2021,488.47,488.47,492.66,486.57,-0.57,,,,,,,
3/12/2021,491.26,491.26,492.44,490.12,-0.24,,,,,,,
3/11/2021,492.44,492.44,492.82,487.34,1.02,,,,,,,
3/10/2021,487.49,487.49,490.32,486.9,-0.11,,,,,,,
3/9/2021,488.05,488.05,494.08,487.06,-1.22,,,,,,,
3/8/2021,494.08,494.08,494.57,491.44,0.06,,,,,,,
3/5/2021,493.78,493.78,495.18,491.21,-0.28,,,,,,,
3/4/2021,495.18,495.18,498.53,491.1,-0.67,,,,,,,
3/2/2021,498.53,498.53,502.34,497.25,-0.76,,,,,,,
3/1/2021,502.34,502.34,502.34,495.58,1.36,,,,,,,
2/26/2021,495.58,495.58,498.31,495.58,-0.47,,,,,,,
2/25/2021,497.92,497.92,498.32,494.36,-0.02,,,,,,,
2/24/2021,498.02,498.02,499.6,495.3,0.07,,,,,,,
2/23/2021,497.65,497.65,501.29,494.22,-0.16,,,,,,,
2/22/2021,498.45,498.45,501.36,497.2,-0.58,,,,,,,
2/19/2021,501.36,501.36,501.5,498.43,0.17,,,,,,,
2/18/2021,500.53,500.53,501.61,498.52,0.15,,,,,,,
2/17/2021,499.76,499.76,499.99,498.1,0.13,,,,,,,
2/16/2021,499.09,499.09,499.09,494.79,0.87,,,,,,,
2/15/2021,494.79,494.79,498.8,490.32,-0.39,,,,,,,
2/12/2021,496.75,496.75,497.32,491.21,1.13,,,,,,,
2/11/2021,491.21,491.21,496.68,489.94,-0.63,,,,,,,
2/10/2021,494.34,494.34,497.45,493.23,-0.39,,,,,,,
2/9/2021,496.3,496.3,496.3,492.61,0.39,,,,,,,
2/8/2021,494.39,494.39,496.75,494.39,-0.02,,,,,,,
2/5/2021,494.51,494.51,498.66,492.93,-0.77,,,,,,,
2/4/2021,498.34,498.34,504.06,491.7,-0.83,,,,,,,
2/3/2021,502.5,502.5,502.96,500.3,0.44,,,,,,,
2/2/2021,500.3,500.3,500.78,496.02,0.59,,,,,,,
2/1/2021,497.38,497.38,499.38,495.81,-0.4,,,,,,,
1/29/2021,499.38,499.38,502.31,497.43,0.1,,,,,,,
1/28/2021,498.9,498.9,506.98,498.9,-1.59,,,,,,,
1/27/2021,506.98,506.98,507.17,504.23,0.45,,,,,,,
1/26/2021,504.69,504.69,506.25,503.03,0.26,,,,,,,
1/25/2021,503.37,503.37,504.51,501.25,0.21,,,,,,,
1/22/2021,502.3,502.3,502.3,481.27,0.49,,,,,,,
1/21/2021,499.85,499.85,500.01,488.73,2.28,,,,,,,
1/20/2021,488.73,488.73,496.27,475.89,2.47,,,,,,,
1/19/2021,476.94,476.94,477.49,470.35,1.4,,,,,,,
1/18/2021,470.35,470.35,470.55,464.88,1,,,,,,,
1/15/2021,465.71,465.71,466.72,457.4,1.82,,,,,,,
1/14/2021,457.4,457.4,457.4,453.82,0.58,,,,,,,
1/13/2021,454.77,454.77,454.77,452.14,0.5,,,,,,,
1/12/2021,452.5,452.5,457.64,452.5,-0.31,,,,,,,
1/11/2021,453.92,453.92,453.92,450.2,0.58,,,,,,,
1/8/2021,451.31,451.31,452.31,449.02,0.32,,,,,,,
1/7/2021,449.88,449.88,451.16,446.73,0.54,,,,,,,
1/6/2021,447.45,447.45,449.69,446.97,-0.45,,,,,,,
1/5/2021,449.47,449.47,449.69,446.23,0.57,,,,,,,
1/4/2021,446.94,446.94,448.55,443.54,-0.13,,,,,,,
12/30/2020,447.53,447.53,448.93,446.36,0.17,,,,,,,
12/29/2020,446.79,446.79,447.22,443.29,0.48,,,,,,,
12/23/2020,444.67,444.67,445.3,441.82,0.35,,,,,,,
12/22/2020,443.12,443.12,443.55,440.34,0.3,,,,,,,
12/21/2020,441.78,441.78,443.48,438.86,-0.12,,,,,,,
12/18/2020,442.3,442.3,442.3,436.69,0.62,,,,,,,
12/17/2020,439.59,439.59,441.74,438.23,-0.07,,,,,,,
12/16/2020,439.89,439.89,439.89,435.91,0.5,,,,,,,
12/15/2020,437.68,437.68,438.67,434.79,-0.13,,,,,,,
12/14/2020,438.26,438.26,439.68,435.88,-0.04,,,,,,,
12/11/2020,438.45,438.45,440.44,434.61,0.38,,,,,,,
12/10/2020,436.78,436.78,437.99,435.24,-0.15,,,,,,,
12/9/2020,437.44,437.44,437.44,433.92,0.49,,,,,,,
12/8/2020,435.29,435.29,437.52,431.07,0.49,,,,,,,
12/7/2020,433.18,433.18,433.18,427.11,0.92,,,,,,,
12/4/2020,429.25,429.25,429.66,426.49,0.55,,,,,,,
12/3/2020,426.91,426.91,428.04,425.1,-0.09,,,,,,,
12/2/2020,427.28,427.28,430.49,425.21,-0.14,,,,,,,
12/1/2020,427.87,427.87,427.87,420.98,1.07,,,,,,,
11/30/2020,423.33,423.33,425.92,422.62,-0.56,,,,,,,
11/27/2020,425.7,425.7,425.7,423.92,0.25,,,,,,,
11/26/2020,424.62,424.62,425.9,422.15,0.53,,,,,,,
11/25/2020,422.39,422.39,425.5,421.53,-0.58,,,,,,,
11/24/2020,424.87,424.87,424.87,419.02,0.11,,,,,,,
11/23/2020,424.42,424.42,427.67,422.43,-0.46,,,,,,,
11/20/2020,426.4,426.4,426.55,422.59,0.84,,,,,,,
11/19/2020,422.86,422.86,425.66,421.22,-0.66,,,,,,,
11/18/2020,425.66,425.66,426.53,425.07,0,,,,,,,
11/17/2020,425.65,425.65,425.65,422.23,0.66,,,,,,,
11/16/2020,422.84,422.84,426.64,422.21,-0.65,,,,,,,
11/13/2020,425.62,425.62,428.07,425.13,-0.57,,,,,,,
11/12/2020,428.07,428.07,429.01,426.26,-0.13,,,,,,,
11/11/2020,428.63,428.63,429.16,427.26,0,,,,,,,
11/10/2020,428.62,428.62,428.75,424.29,0.62,,,,,,,
11/9/2020,425.96,425.96,428.06,423.46,0.24,,,,,,,
11/6/2020,424.94,424.94,425.97,423.74,-0.23,,,,,,,
11/5/2020,425.91,425.91,428.82,425.55,-0.42,,,,,,,
11/4/2020,427.69,427.69,428.34,426.98,0.08,,,,,,,
11/3/2020,427.36,427.36,429.77,425.17,-0.47,,,,,,,
11/2/2020,429.38,429.38,430.14,426.69,0.34,,,,,,,
10/30/2020,427.94,427.94,427.94,423.95,0.91,,,,,,,
10/29/2020,424.09,424.09,425,420.72,0.09,,,,,,,
10/28/2020,423.69,423.69,426.68,422.83,-0.64,,,,,,,
10/27/2020,426.4,426.4,429.97,425.64,-0.77,,,,,,,
10/26/2020,429.72,429.72,430.7,426.87,0.62,,,,,,,
10/23/2020,427.07,427.07,429.81,427.07,-0.6,,,,,,,
10/22/2020,429.66,429.66,429.9,427.4,0.39,,,,,,,
10/21/2020,428,428,428.16,425.32,-0.02,,,,,,,
10/20/2020,428.07,428.07,429.03,427.6,-0.21,,,,,,,
10/19/2020,428.97,428.97,430.24,428.2,-0.2,,,,,,,
10/16/2020,429.83,429.83,429.83,425.35,1.05,,,,,,,
10/15/2020,425.35,425.35,426.22,424.46,-0.14,,,,,,,
10/14/2020,425.96,425.96,426.1,422.5,0.35,,,,,,,
10/13/2020,424.46,424.46,427.97,421.95,-0.35,,,,,,,
10/12/2020,425.93,425.93,426.37,422.8,0.63,,,,,,,
10/9/2020,423.27,423.27,425.19,421.65,0.38,,,,,,,
