category,name,ingredient_direction,quantity,unit,ingredient,note
The Unforgettables,Dry Martini,10 ml Dry Vermouth,10,ml,Dry Vermouth,
The Unforgettables,Gin Fizz,45 ml Gin,45,ml,Gin,
The Unforgettables,Gin Fizz,30 ml Fresh Lemon Juice,30,ml,Fresh Lemon Juice,
The Unforgettables,Gin Fizz,10 ml Simple Syrup,10,ml,Simple Syrup,
The Unforgettables,Gin Fizz,Splash of Soda Water,1,splash,Soda Water,
The Unforgettables,Hanky Panky,45 ml London Dry Gin,45,ml,London Dry Gin,
The Unforgettables,Hanky Panky,45 ml Sweet Red Vermouth,45,ml,Sweet Red Vermouth,
The Unforgettables,Hanky Panky,7.5 ml Fernet Branca,7.5,ml,Fernet Branca,
The Unforgettables,John Collins,45 ml Gin,45,ml,Gin,
The Unforgettables,John Collins,30 ml Fresh Lemon Juice,30,ml,Fresh Lemon Juice,
The Unforgettables,John Collins,15 ml Simple Syrup,15,ml,Simple Syrup,
The Unforgettables,John Collins,60 ml Soda Water,60,ml,Soda Water,
The Unforgettables,Last word,22.5 ml Gin,22.5,ml,Gin,
The Unforgettables,Last word,22.5 ml Green Chartreuse,22.5,ml,Green Chartreuse,
The Unforgettables,Last word,22.5 ml Maraschino Luxardo,22.5,ml,Maraschino Luxardo,
The Unforgettables,Last word,22.5 ml Fresh Lime Juice,22.5,ml,Fresh Lime Juice,
The Unforgettables,Manhattan,50 ml Rye Whiskey,50,ml,Rye Whiskey,
The Unforgettables,Manhattan,20 ml Sweet Red Vermouth,20,ml,Sweet Red Vermouth,
The Unforgettables,Manhattan,1 dash Angostura Bitters,1,dash,Angostura Bitters,
The Unforgettables,Martinez,45 ml London Dry Gin,45,ml,London Dry Gin,
The Unforgettables,Martinez,45 ml Sweet Red Vermouth,45,ml,Sweet Red Vermouth,
The Unforgettables,Martinez,1 Bar Spoon Maraschino Liqueur,1,bar spoon,Maraschino Liqueur,
The Unforgettables,Martinez,2 Dashes Orange Bitters,2,dash,Orange Bitters,
The Unforgettables,Mary Pickford,45 ml White Rum,45,ml,White Rum,
The Unforgettables,Mary Pickford,45 ml Fresh Pineapple Juice,45,ml,Fresh Pineapple Juice,
The Unforgettables,Mary Pickford,7.5 ml Maraschino Luxardo,7.5,ml,Maraschino Luxardo,
The Unforgettables,Mary Pickford,5 ml Grenadine Syrup,5,ml,Grenadine Syrup,
The Unforgettables,Monkey Gland,45 ml Dry Gin,45,ml,Dry Gin,
The Unforgettables,Monkey Gland,45 ml Fresh Orange Juice,45,ml,Fresh Orange Juice,
The Unforgettables,Monkey Gland,1 Table Spoon Absinthe,1,tablespoon,Absinthe,
The Unforgettables,Monkey Gland,1 Table Spoon Grenadine Syrup,1,tablespoon,Grenadine Syrup,
The Unforgettables,Negroni,30 ml Gin,30,ml,Gin,
The Unforgettables,Negroni,30 ml Bitter Campari,30,ml,Bitter Campari,
The Unforgettables,Negroni,30 ml Sweet Red Vermouth,30,ml,Sweet Red Vermouth,
The Unforgettables,Old Fashioned,45 ml Bourbon or Rye Whiskey,45,ml,Bourbon or Rye Whiskey,
The Unforgettables,Old Fashioned,1 Sugar Cube,1,piece,Sugar Cube,
The Unforgettables,Old Fashioned,Few Dashes Angostura Bitters,few,dash,Angostura Bitters,
The Unforgettables,Old Fashioned,Few Dashes Plain Water,few,dash,Plain Water,
The Unforgettables,Paradise,30 ml Gin,30,ml,Gin,
The Unforgettables,Paradise,20 ml Apricot Brandy,20,ml,Apricot Brandy,
The Unforgettables,Paradise,15 ml Fresh Orange Juice,15,ml,Fresh Orange Juice,
The Unforgettables,Planter's Punch,45 ml Jamaican Rum,45,ml,Jamaican Rum,
The Unforgettables,Planter's Punch,15 ml Lime Juice,15,ml,Lime Juice,
The Unforgettables,Planter's Punch,30 ml Sugar Cane Juice,30,ml,Sugar Cane Juice,
The Unforgettables,Porto Flip,15 ml Brandy,15,ml,Brandy,
